AAPL
XOM
MSFT
JNJ
BRKB
WFC
GE
JPM
PG
PFE
VZ
CVX
FB
T
DIS
MRK
BAC
KO
C
GOOGL
GOOG
HD
IBM
CMCSA
INTC
GILD
PEP
AMZN
CSCO
ORCL
V
WMT
PM
AMGN
CVS
ACT
UNH
QCOM
SLB
MDT
MMM
BMY
MO
BA
BIIB
UTX
UNP
ABBV
MCD
CELG
MA
HON
COP
GS
USB
WBA
AIG
LOW
KMI
TWX
SBUX
LLY
NKE
ABT
AXP
UPS
COST
DD
F
EBAY
FOXA
SPG
PCLN
ESRX
MDLZ
ACN
TXN
CL
OXY
HPQ
MON
MET
MS
DUK
LMT
DOW
TMO
TGT
KRFT
DHR
EMC
EOG
MCK
CAT
PNC
GM
TJX
BLK
NEE
BK
FDX
COF
TWC
DTV
APC
GD
D
PSX
ANTM
CRM
AMT
ADP
SO
KMB
EMR
YHOO
HAL
CTSH
BAX
AET
KR
ACE
LYB
PRU
ADBE
ALXN
PX
TRV
SCHW
DAL
ITW
AAL
WMB
YUM
GIS
CI
RTN
CSX
JCI
REGN
ETN
NOC
AVGO
NSC
STT
ECL
PPG
MMC
ADM
PCP
VLO
DE
ALL
CAH
BDX
VRTX
APD
EXC
MU
TEL
CME
PSA
CCI
MHFI
EQR
BBT
AFL
BHI
GLW
LUV
CBS
AEP
SYK
HCN
AON
AMAT
INTU
MPC
HUM
VFC
ICE
NFLX
PXD
DFS
PCG
SRE
LO
VTR
SE
APA
VIAB
DVN
MYL
DLPH
BSX
BRCM
ABC
AMP
WM
CB
ZTS
SHW
PRGO
M
LB
CMI
IP
AVB
PPL
SYY
DG
RAI
HCA
PLD
AZO
CERN
PCAR
ORLY
CCL
NOV
STI
BXP
ROST
PEG
EIX
MJN
TROW
WDC
CMG
HCP
BEN
MNST
CTL
STZ
FCX
ZMH
ADI
NBL
BLKFDS
FIS
OMC
VNO
MRO
FISV
ISRG
EL
ADS
STJ
GGP
MCO
WFM
SWKS
APH
TYC
EA
ED
IR
HIG
STX
HES
XEL
ROP
PH
IVZ
WY
K
DLTR
MTB
SIAL
AA
MAR
SYMC
ENDP
CAG
PAYX
ES
KSS
FITB
NTRS
LVLT
WHR
KMX
DPS
ROK
HST
SWK
FE
HSY
HSP
NUE
EW
ESS
DTE
CLX
LNC
HOT
MNK
BF/B
SNDK
NLSN
PGR
MOS
A
GPC
BBBY
DVA
ETR
PFG
NI
GWW
GMCR
RHT
BWA
ADSK
HBI
XRX
UA
CF
RCL
EQIX
HOG
KORS
RF
COL
EQT
AME
SLG
COG
AKAM
TXT
BCR
TAP
LH
ALTR
L
KEY
SRCL
MSI
USD
PNR
HSIC
AMG
COH
DOV
TSCO
KSU
TSN
O
LRCX
SJM
NVDA
MHK
GPS
JWN
WEC
NTAP
BBY
EFX
NEM
XLNX
LLTC
VMC
FAST
WYN
KIM
MAC
DGX
XEC
NWL
UHS
CBG
TSO
PLL
WU
CHRW
EMN
WYNN
WAT
LLL
SPLS
CA
AEE
RSG
CTXS
OKE
MKC
CCE
TIF
MCHP
BLL
EXPE
CMS
SWN
IFF
XL
SEE
VAR
KLAC
RRC
DHI
TRIP
HAR
CSC
MAS
PVH
LEN
HBAN
IPG
URI
CNP
CAM
EXPD
FTI
HRB
FLR
SNA
DISCK
AES
JNPR
MUR
NRG
MLM
RL
UNM
HRS
DRI
CPB
CMA
FFIV
GCI
MAT
NAVI
NWSA
RHI
MWV
ETFC
CTAS
CHK
CINF
SCG
HP
HRL
FLS
FMC
PCL
FDO
PHM
GT
FTR
LUK
ARG
HAS
ADT
XRAY
TMK
VRSN
PNW
IRM
CNX
POM
SNI
TDC
XYL
LEG
TSS
AIV
PWR
GAS
NFX
ALLE
NDAQ
JEC
TEG
PKI
RIG
GRMN
ZION
ESV
LM
R
DISCA
THC
AVY
AN
PBI
HCBK
PBCT
DNB
FSLR
TE
URBN
FLIR
AIZ
PDCO
GME
CVC
OI
GNW
NE
JOY
FOSL
QEP
ATI
DO
